month,eco_water,town_water,agr_water,inflow,max_v,elec_plan
1,401.8,642.2,555.8,1055.6,39300,200
2,433,545.3,542.4,631.8,39300,100
3,283.9,638.2,1783.4,578.1,39300,100
4,427.7,596.4,1468.1,696.7,39300,150
5,289.3,639.3,1233.3,897.4,39300,150
6,798.3,616.3,0,2000.7,39300,150
7,522.3,599.8,766.1,3026.3,24800,260
8,1127.6,513.8,782.5,8381.7,24800,400
9,1736.6,495.5,135.6,7228.8,24800,400
10,1494.5,487.7,0,7229.8,35600,360
11,1568.2,521.7,562.4,3623.1,39300,330
12,479.4,534.3,549.6,2678.2,39300,300
